review_text,review_rating,cooking_surface,heat_control,durability,portability,versatility
Not assembled as promised.: It was supposed to be assembled but pieces were not. The bolts and screws to assemble the pieces myself were not included. The grill had scratches and a small dent on the hood. Looks like it was a floor model.,3,NA,NA,-1,NA,NA
Everything I imagined and more!: Everything came in the box.  I decided to install the black stone myself and it wasn’t hard at all.  The Blackstone gets really hot very fast and I love how big of a range you can cook different foods on it at the same time.  I love it.,5,1,1,1,0,1
"Box Mangled and Item Dented: Received the blackstone griddle in a mangled box, got home to put it together and right away saw a very large dent in the back. Put the griddle back in the truck and was hoping for an exchange, nope. Had to do a return which is now holding up a nice chunk of cash for a few days or even weeks. No idea why an exchange could not happen in this case.",1,NA,NA,-1,NA,NA
"Blackstone: After waiting 9 days after purchase,  product was damaged. Big ding in front and tray underneath was bent. Offered 30% off to take $499 product. Very disappointed!",3,-1,0,-1,-1,-1
"Instruct your delivery Carefully!: I was pleased with everything - the delivery people kept us current by text as to where they were on the day of delivery. They were on time, put the griddle where my wife asked, and left. I was not there but she said they were polite and professional. 
All was good, until a few days later I noticed a fairly large dent in the front panel, just under the second burner knob from the right. It was obvious and I cannot believe the delivery personnel did not see it.
By then, of course, I had used the ...",1,NA,NA,-1,NA,NA
"Nice Grill Beware of the Professional Assembly: I like the grill but I am not happy with the way it was ""professionally assembled"".  Immediately after  received 2 of the burners would not light, this is dangerous.  I was given the run around by the manufacturer who directed me to Lowes, who subsequently directed me back to the manufacturer.  It's pretty much fix it yourself (note I am 75 years old and have certain disabilities).  To fix this you need to remove the heavy grill, as there is no other way to access the ignitors which were not ins...",3,NA,NA,-1,NA,NA
"Blackstone Griddle: I bought the 32 inch and very disappointed. I've had this less than a year and one of the shelves have already rusted, along with the back part of the griddle itself. It's never been out in the rain because it stays on the carport with a $60 Blackstone cover. I clean that griddle when I get done cooking. So what I paid for it along with the Blacksone cover and Blackstone cleaning accessories I'm disappointed. Would I recommend this, I'm sorry to say no I wouldn't. I hate for someone to put this ...",1,-1,0,-1,0,0
"Junk: Purchased grill, was dented on the body of the grill .Seasoned grill before used,  great to use. Always covered on patio. Griddle is rusted, the paint has peeled  off the body, and the cover is rusted badly. Was excited to purchase a Blackstone, but had I known of the poor quality I would have passed on this purchase. It is a pile of rusted junk and is going to the dump. I guess that I will have to purchase an overpriced Weber now, a grill that I had for years and never had problems with.Also, a...",1,1,0,-1,-1,0
"Horrible Assembly: I had this pre-assembled prior to delivery. I would suggest assembling it yourself.  After it was delivered, I inspected it. The center shelf was put on upside down and backward. I assume it was because they didn't want the reach under to tighten the screws. The propane tank stabilizer was barely on, and the nut was stripped. All the hangers were barely attached. 3 stars only because I believe after I take it apart and reassemble it should work correctly.",3,NA,NA,-1,NA,NA
"Manufacturing issues - no qc: We have been looking at the Blackstone griddles for several months, mainly at the used ones for sale in our area. None if these were in decent shape so yesterday we opted to buy a new on 36"" 4-burner model.
I sat down and read through the assembly instructions, opened the box and did a quick inventory.  I didn't have any real difficulty in putting the thing together.
My problem was in the factory construction.  Within a few minutes, I found that one of the cross members that connects the front l...",3,NA,NA,-1,NA,NA
"AWESOME GRILL: This is my second stove and never hesitated on going bigger.  I use a smaller (17"") one for get way picnics and camping.",5,NA,NA,NA,NA,NA
Blackstone: From breakfast to hibachi this grill does it all! Love the lid and the upgraded base. Sturdy and built well best purchase I’ve ever made!,5,1,1,1,0,1
"Avoid Lowe’s Assembly!!: This review is mainly about how terrible Lowe’s is, I love my Blackstone. I purchased my Blackstone online and chose free assembly and delivery through Lowe’s. When it was delivered everything seemed fine for a couple months because it never moved. However when I tried to roll it to a different part of my deck the whole grill nearly collapsed because only 1 bolt was installed in each leg connecting to the grill. There are supposed to be 4 on each leg! After speaking with 5 different customer ser...",1,1,-1,1,-1,-1
Love! But don’t let Lowes assemble!: Product is great! Delivery was great! I requested free assembly and it was assembled horribly. Every screw was loose. Screws were even missing. Knobs were installed backwards. And the paper towel holder was installed upside down. Let’s just say I learned my lesson with their free assembly. It was free for a reason.,3,NA,NA,-1,NA,NA
"Item is very cheap, Blackstone has poor CS: My wife purchased a 36” griddle from Lowe’s for Xmas.  We had Lowe’s assemble and deliver.  The unit was delivered with 10 screws missing.  I was barely able to move it since it shakes so bad.  If you are missing parts all I can say is good luck.  Do not have Lowe’s assemble, they do not care to assemble correctly.  Blackstone customer service is terrible as well, good luck getting the parts that you need.  As for the product its self, the griddle itself is great and makes an excellent steak.  T...",1,1,-1,-1,-1,1
"Bob B.: It was exactly what I thought it would be. I’ve had it just over a week and have cooked on it about 5 times…smash burgers, Philly cheesesteaks, breakfast food…..it’s awesome!😎",5,1,1,1,1,1
Not happy: The grill is rusting on the cover and I had a grill cover on it. It is on 10 months old.,1,NA,NA,-1,NA,NA
"Pretty straightforward, but a few build changes...: This was delivered on a Friday afternoon, and I thought I'd be able to build it that evening, but ran out of time, so finished on a Saturday afternoon.

Overall, the build was pretty straightforward. It did take about 30 minutes to unpack everything, and it seems a lot of the complaints about quality may have been addressed. Tons of padding, reinforcing, etc, and none of the dents others had mentioned, though there were a few nicks to the griddle bed in one corner, and the sticker on the left sh...",5,NA,NA,1,NA,NA
"Nice flat top: Nice flat top with a lot of cooking space. I wanted to get the 30"" but my wife talked me into the bigger version and I'm glad we did. Plenty of space to cook multiple items at once",5,1,NA,NA,NA,NA
"High Quality - Opt for the Pre-built: Purchased the 36in Culinary, upgrading from a 22inch adventure model. The culinary series is Lowes specific and it includes a few upgrades that customers complained on other models. If you don't think you'll be moving it very much, then the wind guards and hood that model are clutch.  It was easy to season, and cooks very well, even with the reduced BTU output. I recommend opting for the pre-built models, if you can transport it. I purchased one in the box, because the floor models had scratches...",4,1,1,1,1,1
Amazing help at Plattsburgh Lowes: Ross from the Plattsburgh Lowe’s was great. Helped loading the blackstone into my truck. Was raining so was helpful wrapping it up before loading it.,5,1,0,1,1,0
