review_content,review_rating,raw_cooking_surface,overall_cooking_surface,cooking_surface_opinion,cooking_surface,raw_portability,overall_portability,portability_opinion,portability,raw_heat_control,overall_heat_control,heat_control_opinion,heat_control,raw_durability,overall_durability,durability_opinion,durability,raw_accessories,overall_accessories,accessories_opinion,accessories
"Grill = great but issues with Lowe’s assembly x2: Love my Blackstone grill (eating 5/5) and the Lowe’s delivery service was punctual and provided great service (rating 5/5). 
The challenges with both deliveries were related to assembly. First grill was just sloppy assembly with bolts not fully tightened (they were actually falling out upon inspection) which caused damage to the frame assembly. Second delivery was better but grill was missing the stoppers which protect/eliminate direct, metal-on-metal contact between lid and body which caused heat resistant paint to chip. Rating for assembly and follow up service = 2/5
Lowe’s promised a credit which has yet to be processed or confirmed. 
Moral of the story…inspect your delivery closely and understand that the delivery team has nothing to do with assembly.[Rating - 3/5]",3,"1. The overall review is NEGATIVE
2. The reviewer mentions that the grill is a Blackstone grill and talks about issues with assembly that caused damage to the frame assembly and chipping of the heat resistant paint.
3. Sentiment on cooking_surface is NEGATIVE",NEGATIVE,The reviewer mentions that the grill is a Blackstone grill and talks about issues with assembly that caused damage to the frame assembly and chipping of the heat resistant paint.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention portability in the review.
3. Since portability is not mentioned, there is no sentiment assigned to it.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE

2. The reviewer mentions that the missing stoppers on the grill caused heat resistant paint to chip due to direct metal-on-metal contact between the lid and body.

3. Sentiment on heat_control is NEGATIVE",NEGATIVE,The reviewer mentions that the missing stoppers on the grill caused heat resistant paint to chip due to direct metal-on-metal contact between the lid and body.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions issues with the assembly of the grill, including bolts not fully tightened and missing stoppers which caused damage to the frame assembly and chipping of the heat resistant paint.
3. Sentiment on durability is NEGATIVE",NEGATIVE,"The reviewer mentions issues with the assembly of the grill, including bolts not fully tightened and missing stoppers which caused damage to the frame assembly and chipping of the heat resistant paint.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention any accessories in the review.
3. Since the reviewer does not mention any accessories, the sentiment on accessories is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention any accessories in the review.,NOT MENTIONED
Not assembled as promised.: It was supposed to be assembled but pieces were not. The bolts and screws to assemble the pieces myself were not included. The grill had scratches and a small dent on the hood. Looks like it was a floor model.[Rating - 3/5],3,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the grill had scratches and a small dent on the hood.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the grill had scratches and a small dent on the hood.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the grill was not assembled as promised, which could potentially affect the portability of the product.
3. The reviewer's opinion on the portability is NOT MENTIONED.",NEGATIVE,"The reviewer mentions that the grill was not assembled as promised, which could potentially affect the portability of the product.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer did not specifically mention anything about the heat_control aspect of the product.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",NEGATIVE,The reviewer did not specifically mention anything about the heat_control aspect of the product.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the grill had scratches and a small dent on the hood, indicating potential issues with the durability.
3. The reviewer's opinion on the durability is NEGATIVE.",NEGATIVE,"The reviewer mentions that the grill had scratches and a small dent on the hood, indicating potential issues with the durability.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the bolts and screws needed to assemble the grill were not included.
3. The reviewer's opinion on the accessories is NEGATIVE as they were not included as promised.",NEGATIVE,The reviewer mentions that the bolts and screws needed to assemble the grill were not included.,NEGATIVE
"Instruct your delivery Carefully!: I was pleased with everything - the delivery people kept us current by text as to where they were on the day of delivery. They were on time, put the griddle where my wife asked, and left. I was not there but she said they were polite and professional. 
All was good, until a few days later I noticed a fairly large dent in the front panel, just under the second burner knob from the right. It was obvious and I cannot believe the delivery personnel did not see it.
By then, of course, I had used the ...[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions noticing a dent in the front panel of the product.
3. Sentiment on cooking_surface is NEGATIVE",NEGATIVE,The reviewer mentions noticing a dent in the front panel of the product.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions noticing a dent in the front panel of the griddle a few days after delivery.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",NEGATIVE,The reviewer mentions noticing a dent in the front panel of the griddle a few days after delivery.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions noticing a fairly large dent in the front panel of the griddle a few days after delivery.
3. The sentiment on durability is NEGATIVE as the reviewer is disappointed with the griddle's sturdiness due to the dent.",NEGATIVE,The reviewer mentions noticing a fairly large dent in the front panel of the griddle a few days after delivery.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention any accessories in the review.
3. The reviewer does not provide an opinion on the accessories as they are not mentioned in the review.",NEGATIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
Everything I imagined and more!: Everything came in the box.  I decided to install the black stone myself and it wasn’t hard at all.  The Blackstone gets really hot very fast and I love how big of a range you can cook different foods on it at the same time.  I love it.[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer talks about the size and material of the cooking surface, mentioning that it is black stone.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",POSITIVE,"The reviewer talks about the size and material of the cooking surface, mentioning that it is black stone.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not mention anything about the portability of the griddle.
3. Sentiment on portability is NOT MENTIONED",POSITIVE,The reviewer does not mention anything about the portability of the griddle.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the Blackstone griddle gets really hot very fast.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,The reviewer mentions that the Blackstone griddle gets really hot very fast.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that everything came in the box and that they installed the black stone themselves, which suggests they are discussing the durability of the product.
3. The reviewer's opinion on the durability is POSITIVE.",POSITIVE,"The reviewer mentions that everything came in the box and that they installed the black stone themselves, which suggests they are discussing the durability of the product.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that everything came in the box, which implies that accessories were included.
3. The reviewer's opinion on the accessories is POSITIVE.",POSITIVE,"The reviewer mentions that everything came in the box, which implies that accessories were included.",POSITIVE
"Box Mangled and Item Dented: Received the blackstone griddle in a mangled box, got home to put it together and right away saw a very large dent in the back. Put the griddle back in the truck and was hoping for an exchange, nope. Had to do a return which is now holding up a nice chunk of cash for a few days or even weeks. No idea why an exchange could not happen in this case.[Rating - 1/5]",1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the griddle has a dent in the back.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the griddle has a dent in the back.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that they had to put the griddle back in the truck for a return.
3. The reviewer's opinion on the portability is NEGATIVE as they had to go through the hassle of returning the item due to the damage.",NEGATIVE,The reviewer mentions that they had to put the griddle back in the truck for a return.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention the heat_control aspect of the product.
3. The sentiment on heat_control is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the heat_control aspect of the product.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the griddle arrived in a mangled box and had a large dent in the back.
3. The reviewer's opinion on the durability is NEGATIVE as the griddle arrived damaged and they had to go through the hassle of returning it.",NEGATIVE,The reviewer mentions that the griddle arrived in a mangled box and had a large dent in the back.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not mention anything about the accessories.
3. Since the reviewer does not mention anything about the accessories, the sentiment on accessories is NOT MENTIONED.",NEGATIVE,The reviewer does not mention anything about the accessories.,NOT MENTIONED
"Nice Grill Beware of the Professional Assembly: I like the grill but I am not happy with the way it was ""professionally assembled"".  Immediately after  received 2 of the burners would not light, this is dangerous.  I was given the run around by the manufacturer who directed me to Lowes, who subsequently directed me back to the manufacturer.  It's pretty much fix it yourself (note I am 75 years old and have certain disabilities).  To fix this you need to remove the heavy grill, as there is no other way to access the ignitors which were not ins...[Rating - 3/5]",3,"1. The overall review is NEGATIVE
2. The reviewer mentions the heavy grill and the difficulty in accessing the ignitors on the cooking surface.
3. Sentiment on cooking_surface is NEGATIVE",NEGATIVE,The reviewer mentions the heavy grill and the difficulty in accessing the ignitors on the cooking surface.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that two of the burners would not light immediately after receiving the grill, which is a safety concern.
3. The reviewer's opinion on the heat_control is NEGATIVE as they experienced issues with the burners not lighting properly.",NEGATIVE,"The reviewer mentions that two of the burners would not light immediately after receiving the grill, which is a safety concern.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions the durability issues with the grill, specifically with the burners not lighting properly.
3. The reviewer's opinion on the durability is NEGATIVE.",NEGATIVE,"The reviewer mentions the durability issues with the grill, specifically with the burners not lighting properly.",NEGATIVE,"1. The overall review is NEGATIVE.

2. The reviewer does not mention any accessories in the review.

3. Since the reviewer does not mention any accessories, there is no sentiment assigned to them.",NEGATIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
"Blackstone Griddle: I bought the 32 inch and very disappointed. I've had this less than a year and one of the shelves have already rusted, along with the back part of the griddle itself. It's never been out in the rain because it stays on the carport with a $60 Blackstone cover. I clean that griddle when I get done cooking. So what I paid for it along with the Blacksone cover and Blackstone cleaning accessories I'm disappointed. Would I recommend this, I'm sorry to say no I wouldn't. I hate for someone to put this ...[Rating - 1/5]",1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that one of the shelves and the back part of the griddle have already rusted.
3. The sentiment on cooking_surface is NEGATIVE.",NEGATIVE,The reviewer mentions that one of the shelves and the back part of the griddle have already rusted.,NEGATIVE,"1. The sentiment of the overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that one of the shelves and the back part of the griddle have already rusted, despite the griddle being less than a year old and being kept covered and cleaned regularly.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",NEGATIVE,"The reviewer mentions that one of the shelves and the back part of the griddle have already rusted, despite the griddle being less than a year old and being kept covered and cleaned regularly.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that one of the shelves and the back part of the griddle have already rusted, despite the griddle being less than a year old and being kept covered and cleaned regularly.
3. The reviewer's opinion on the durability is NEGATIVE.",NEGATIVE,"The reviewer mentions that one of the shelves and the back part of the griddle have already rusted, despite the griddle being less than a year old and being kept covered and cleaned regularly.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that they purchased a $60 Blackstone cover and Blackstone cleaning accessories.
3. The reviewer's opinion on the accessories is NEGATIVE.",NEGATIVE,The reviewer mentions that they purchased a $60 Blackstone cover and Blackstone cleaning accessories.,NEGATIVE
"Junk: Purchased grill, was dented on the body of the grill .Seasoned grill before used,  great to use. Always covered on patio. Griddle is rusted, the paint has peeled  off the body, and the cover is rusted badly. Was excited to purchase a Blackstone, but had I known of the poor quality I would have passed on this purchase. It is a pile of rusted junk and is going to the dump. I guess that I will have to purchase an overpriced Weber now, a grill that I had for years and never had problems with.Also, a...[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the griddle is rusted and the paint has peeled off the body of the grill.
3. The reviewer's opinion on the cooking_surface is NEGATIVE.",NEGATIVE,The reviewer mentions that the griddle is rusted and the paint has peeled off the body of the grill.,NEGATIVE,"1. The sentiment of the overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention the heat_control aspect of the grill.
3. The sentiment on heat_control is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the heat_control aspect of the grill.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the griddle is rusted, the paint has peeled off the body, and the cover is rusted badly.
3. The reviewer's opinion on the durability is NEGATIVE.",NEGATIVE,"The reviewer mentions that the griddle is rusted, the paint has peeled off the body, and the cover is rusted badly.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the cover is rusted badly.
3. The reviewer's opinion on the accessories is NEGATIVE.",NEGATIVE,The reviewer mentions that the cover is rusted badly.,NEGATIVE
"Manufacturing issues - no qc: We have been looking at the Blackstone griddles for several months, mainly at the used ones for sale in our area. None if these were in decent shape so yesterday we opted to buy a new on 36"" 4-burner model.
I sat down and read through the assembly instructions, opened the box and did a quick inventory.  I didn't have any real difficulty in putting the thing together.
My problem was in the factory construction.  Within a few minutes, I found that one of the cross members that connects the front leg to the back leg had the end piece on upside down.  
The hole that the screw goes through was not there.  I looked at the end of the piece and saw that this piece was put on backwards.
I'm a pretty handy fella so I just drilled a hole in the proper place.  Problem solved.
The next issue came into focus when I was putting the wing shelves on.  
The instructions said to use the shoulder bolt in the top hole on both sides of the shelf for both shelves.
The problem here was that the little nut that is spot welded where the shoulder bolt should go was not there.  The little nuts were both welded on the same side of the shelf in the top and bottom holes.  
I have some nuts and bolts so I just grabbed two of each and put them through the hole that should have been home to a little nut.
This will probably affect the ability for the shelf to be folded down but it dont care too much.
The Chinese labor market keeps this product cheap but they really don't care.  I doubt if Blackstone can penalize them for too many mistakes.
At any rate, I finished assembly, seasoned the griddle and called it good enough.

I've used it once and think it'll be fine.[Rating - 3/5]",3,"1. The overall review is NEGATIVE
2. The reviewer mentions that they seasoned the griddle and called it good enough after assembly.
3. Sentiment on cooking_surface is NEUTRAL",NEGATIVE,The reviewer mentions that they seasoned the griddle and called it good enough after assembly.,NEUTRAL,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention the heat_control aspect of the product.
3. Sentiment on heat_control is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention the heat_control aspect of the product.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions manufacturing issues with the griddle, such as parts being put on incorrectly and missing nuts.
3. Sentiment on durability is NEGATIVE",NEGATIVE,"The reviewer mentions manufacturing issues with the griddle, such as parts being put on incorrectly and missing nuts.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer talks about the wing shelves and mentions that there were issues with the assembly instructions and missing parts.
3. Sentiment on accessories is NEGATIVE",NEGATIVE,The reviewer talks about the wing shelves and mentions that there were issues with the assembly instructions and missing parts.,NEGATIVE
"Horrible Assembly: I had this pre-assembled prior to delivery. I would suggest assembling it yourself.  After it was delivered, I inspected it. The center shelf was put on upside down and backward. I assume it was because they didn't want the reach under to tighten the screws. The propane tank stabilizer was barely on, and the nut was stripped. All the hangers were barely attached. 3 stars only because I believe after I take it apart and reassemble it should work correctly.[Rating - 3/5]",3,"1. The overall review is NEGATIVE
2. The reviewer mentions that the center shelf was put on upside down and backward, the propane tank stabilizer was barely on, and the hangers were barely attached.
3. The reviewer's opinion on the cooking_surface is NEGATIVE.",NEGATIVE,"The reviewer mentions that the center shelf was put on upside down and backward, the propane tank stabilizer was barely on, and the hangers were barely attached.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that they had the griddle pre-assembled prior to delivery and suggest assembling it yourself. They also mention issues with the assembly, such as the center shelf being put on upside down and backward, the propane tank stabilizer being barely on, and the hangers being barely attached.
3. The reviewer's opinion on the portability is NEGATIVE as they had issues with the assembly of the griddle, which may have impacted its ease of moving and transporting.",NEGATIVE,"The reviewer mentions that they had the griddle pre-assembled prior to delivery and suggest assembling it yourself. They also mention issues with the assembly, such as the center shelf being put on upside down and backward, the propane tank stabilizer being barely on, and the hangers being barely attached.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention the heat_control aspect of the product.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the heat_control aspect of the product.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the center shelf was put on upside down and backward, the propane tank stabilizer was barely on and the nut was stripped, and all the hangers were barely attached.
3. The reviewer's opinion on durability is NEGATIVE as they mention multiple issues with the assembly of the product, indicating potential concerns about its sturdiness and longevity.",NEGATIVE,"The reviewer mentions that the center shelf was put on upside down and backward, the propane tank stabilizer was barely on and the nut was stripped, and all the hangers were barely attached.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not mention any specific accessories in the review.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",NEGATIVE,The reviewer does not mention any specific accessories in the review.,NOT MENTIONED
