review_content,review_rating,raw_cutting_performance,overall_cutting_performance,cutting_performance_opinion,cutting_performance,raw_ease_of_use,overall_ease_of_use,ease_of_use_opinion,ease_of_use,raw_durability,overall_durability,durability_opinion,durability,raw_engine_power,overall_engine_power,engine_power_opinion,engine_power,raw_maneuverability,overall_maneuverability,maneuverability_opinion,maneuverability
"You Will Regret Buying This: There are so many issues with this mower. The bag does not fit properly so grass blows directly in your face.  If you don't use the bag, grass gets clogged on the chute flap and you have to manually remove it. There is no side chute option on this model. The wheel adjustments do not lock in place and fall down as you mow, scalping your lawn. The plastic grip and cord holders fall off and have to be zip-tied in place.  The mower is mostly plastic and the deck is thin, cheap metal. The back flap that protects you from debris is flimsy and constantly gets caught under the mower.  The self-propel doesn't disengage properly and prevents you from pulling the mower back toward you.  The blade is very low quality and was dull right out of the box.  The engine sucks in dirt and grass clippings requiring frequent air filter changes.  The reason you ""never need to change oil"" is because it burns through it like crazy so you have to add a considerable amount every time you mow.

And here's the best part, despite the use of high-quality gas with stabilizers, and the fact that I properly winterized it, and that it is kept in a climate controlled garage year-round, it absolutely would not start this spring.  It wouldn't even crank.  I bought it last summer and used it maybe 10 times before I winterized it. I had to completely disassemble and clean the PLASTIC carburetor.  This isn't something that Toro will EVER cover so if you don't want to do that every year or pay someone to do it ($100+), this is not the mower for you.  Toro will claim you did something wrong.  Look at their canned replies to the low ratings.  It's always going to be something not covered by the warranty.

I have never seen such a junky mower.  It is mostly made of plastic.  I purposely bought a Toro due to their reputation and Briggs and Stratton was always my go-to but now they are using cheap plastic carburetors that clog up no matter what you do.  Well forget that.  Toro has ruined their reputation.  I regret buying this junk and you will too.  Read the 1 star reviews.  They are completely accurate.  You have been warned.[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower has issues with the cutting_performance such as the blade being low quality and dull right out of the box.
3. Sentiment on cutting_performance is NEGATIVE",NEGATIVE,The reviewer mentions that the mower has issues with the cutting_performance such as the blade being low quality and dull right out of the box.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions issues with the bag not fitting properly, grass getting clogged, wheel adjustments not locking in place, plastic grip and cord holders falling off, self-propel not disengaging properly, and the mower being difficult to start.
3. Sentiment on ease_of_use is NEGATIVE",NEGATIVE,"The reviewer mentions issues with the bag not fitting properly, grass getting clogged, wheel adjustments not locking in place, plastic grip and cord holders falling off, self-propel not disengaging properly, and the mower being difficult to start.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer talks about the durability issues such as the mower being mostly made of plastic, the thin and cheap metal deck, the flimsy back flap, and the low-quality blade.
3. Sentiment on durability is NEGATIVE",NEGATIVE,"The reviewer talks about the durability issues such as the mower being mostly made of plastic, the thin and cheap metal deck, the flimsy back flap, and the low-quality blade.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the engine sucks in dirt and grass clippings, requiring frequent air filter changes. They also mention that the engine burns through oil quickly.
3. The reviewer's opinion on the engine_power is NEGATIVE.",NEGATIVE,"The reviewer mentions that the engine sucks in dirt and grass clippings, requiring frequent air filter changes. They also mention that the engine burns through oil quickly.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention maneuverability in the review.
3. Sentiment on maneuverability is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention maneuverability in the review.,NOT MENTIONED
Handle is way too short: The mower works great. The probably is the handle is not extendable and way to short. I replaced a Troy Built mower and this handle was a full 12” shorter than my previous one. I’m only 5’7 and I had to bend down to push this one so I returned it. I don’t know how anyone taller could push this one and not have back pain.[Rating - 2/5],2,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower works great but the handle is way too short.
3. The reviewer's opinion on the cutting_performance is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the mower works great but the handle is way too short.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer talks about the handle being too short and causing discomfort while using the mower.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,The reviewer talks about the handle being too short and causing discomfort while using the mower.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the handle is way too short and not extendable.
3. The reviewer's opinion on the durability is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the handle is way too short and not extendable.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer does not mention anything about the engine_power.
3. The sentiment on engine_power is NOT MENTIONED",NEGATIVE,The reviewer does not mention anything about the engine_power.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer talks about the handle being too short and causing discomfort while pushing the mower.
3. The reviewer's opinion on the maneuverability is NEGATIVE.",NEGATIVE,The reviewer talks about the handle being too short and causing discomfort while pushing the mower.,NEGATIVE
"Dust and grass in face wow: Just purchased this machine, 5/ 10/024
For the price, Everything on this machine should work with precision.. The grass Catch bag, doesn’t work the way it was design.. Grass is escaping from the top Poorly design.. grass is hitting you in the face at times with dust.
Bag was Properly position on machine.
I saw another review on here with the 
same problem, I shouldn’t have to seal with tape, because it doesn’t seal Properly. Very, very disappointed in this machine.. I must say it cut well, But you’re gonna need to breath to get through the process.[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower cuts well.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",NEGATIVE,The reviewer mentions that the lawn mower cuts well.,POSITIVE,"1. The overall review is NEGATIVE
2. The reviewer talks about the grass catch bag not working properly, grass escaping from the top, hitting the user in the face with dust, and the bag not sealing properly.
3. Sentiment on ease_of_use is NEGATIVE",NEGATIVE,"The reviewer talks about the grass catch bag not working properly, grass escaping from the top, hitting the user in the face with dust, and the bag not sealing properly.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the grass catch bag doesn't work as designed, with grass escaping from the top and hitting the user in the face with dust.
3. The reviewer's opinion on durability is NEGATIVE, as they are disappointed in the machine and mention that it doesn't seal properly, requiring tape to fix it.",NEGATIVE,"The reviewer mentions that the grass catch bag doesn't work as designed, with grass escaping from the top and hitting the user in the face with dust.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention engine_power in the review.
3. Sentiment on engine_power is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention engine_power in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention maneuverability in the review.
3. Sentiment on maneuverability is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention maneuverability in the review.,NOT MENTIONED
Won't start after shutting it off and very weak.: I bought this mower April 10th 2024 read reviews and always heard great stuff about Toro products. Well I noticed it just didn't seem to have much power to it and I had previously had a Kobalt 40 volt battery powered mower. The battery mower has more but than this thing. The most recent time I cut the grass I had to shut it off and move a few things. I tried to start it back and it was like it just wasn't sparking or igniting the gas correctly. I pulled and pulled only to get a little puff of white smoke. Well it eventually tries to start and just slowly starts building up power it takes like 15 seconds after it finally hits to get it to run correctly. It's like it's starving for gas or just isn't igniting the gas and unfortunately it is 1 week past the 30 day return policy. I really think there is a manufacturing problem with this thing I've had much smaller mowers that has more power to it. The grass doesn't have to be high at all and mower just doesn't have the but to cut it and dies then here I go again trying my best to get it to start. This mower is for sale if anyone is interested because I don't want this garbage I have better things to do than stand in the sun pulling and pulling on a mower I paid $400.00 plus for that don't start that is only 37 days old total BS!!! TRASH stay away from this Toro garbage! Toro do the right thing recall this model or send us all a replacement because obviously I'm going to have buy another one and there's no way it will ever be a Toro![Rating - 1/5],1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower doesn't have much power, struggles to start after shutting off, and doesn't have the ability to cut the grass effectively.
3. Sentiment on cutting_performance is NEGATIVE",NEGATIVE,"The reviewer mentions that the mower doesn't have much power, struggles to start after shutting off, and doesn't have the ability to cut the grass effectively.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer talks about the difficulty in starting the mower after shutting it off, mentioning issues with sparking or igniting the gas correctly.
3. Sentiment on ease_of_use is NEGATIVE",NEGATIVE,"The reviewer talks about the difficulty in starting the mower after shutting it off, mentioning issues with sparking or igniting the gas correctly.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower won't start after shutting it off and is very weak, indicating potential issues with durability.
3. Sentiment on durability is NEGATIVE",NEGATIVE,"The reviewer mentions that the mower won't start after shutting it off and is very weak, indicating potential issues with durability.",NEGATIVE,"1. The overall review is NEGATIVE

2. The reviewer mentions that the mower doesn't seem to have much power, it struggles to start and run correctly, and it lacks the power to cut the grass efficiently.

3. Sentiment on engine_power is NEGATIVE",,,,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention maneuverability in the review.
3. Sentiment on maneuverability is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention maneuverability in the review.,NOT MENTIONED
"Great machine for the price.: I like the adjustable propulsion speed, since our two main users are significantly different heights. 
I did not like that I had to ask for the discharge chute to be sent and it hasn't arrived yet.[Rating - 4/5]",4,"1. The overall review is POSITIVE
2. The reviewer mentions the adjustable propulsion speed as a positive aspect of the machine.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",POSITIVE,The reviewer mentions the adjustable propulsion speed as a positive aspect of the machine.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer talks about the adjustable propulsion speed, which indicates ease of use for users of different heights.
3. The reviewer's opinion on the ease_of_use is POSITIVE.",POSITIVE,"The reviewer talks about the adjustable propulsion speed, which indicates ease of use for users of different heights.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions the adjustable propulsion speed and the fact that they had to ask for the discharge chute to be sent.
3. The reviewer's opinion on durability is NOT MENTIONED",POSITIVE,The reviewer mentions the adjustable propulsion speed and the fact that they had to ask for the discharge chute to be sent.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions the adjustable propulsion speed, which is related to the engine power in powering the lawn mower for efficient cutting.
3. The reviewer's opinion on the engine_power is POSITIVE.",POSITIVE,"The reviewer mentions the adjustable propulsion speed, which is related to the engine power in powering the lawn mower for efficient cutting.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions the adjustable propulsion speed, which can affect maneuverability.
3. Sentiment on maneuverability is POSITIVE",POSITIVE,"The reviewer mentions the adjustable propulsion speed, which can affect maneuverability.",POSITIVE
"Not great: I have had this mower for two weeks. The first one would not start, replaced it with a new one. Got two mows out of it. On the 3rd mow it died after about 30 feet. With fresh gas and checking oil levels etc. it would not start back up. Felt like it wanted to but couldn’t catch. New mower should not require maintenance to fix that after 2 hours total mow time. Will be returning this again and will not be getting this one again.[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower died after about 30 feet on the 3rd mow.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,The reviewer mentions that the mower died after about 30 feet on the 3rd mow.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower would not start and died after a short distance on the third mow, despite having fresh gas and checking oil levels.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer mentions that the mower would not start and died after a short distance on the third mow, despite having fresh gas and checking oil levels.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower died after only two weeks of use, with the first one not starting at all and the replacement dying after just two mows.
3. The reviewer's opinion on durability is NEGATIVE.",NEGATIVE,"The reviewer mentions that the mower died after only two weeks of use, with the first one not starting at all and the replacement dying after just two mows.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower died after about 30 feet on the 3rd mow, despite having fresh gas and checking oil levels.
3. The reviewer's opinion on the engine_power is NEGATIVE as they express frustration that a new mower should not require maintenance after only 2 hours of total mow time.",NEGATIVE,"The reviewer mentions that the mower died after about 30 feet on the 3rd mow, despite having fresh gas and checking oil levels.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention maneuverability in the review.
3. Sentiment on maneuverability is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention maneuverability in the review.,NOT MENTIONED
Big Helper: [This review was collected as part of a promotion.] I am 81 years old and can start the Toro with one pull which is a big help[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer mentions that the Toro lawn mower can be started with one pull, which is a big help.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",POSITIVE,"The reviewer mentions that the Toro lawn mower can be started with one pull, which is a big help.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that they can start the Toro lawn mower with one pull.
3. The reviewer's opinion on the ease_of_use is POSITIVE.",POSITIVE,The reviewer mentions that they can start the Toro lawn mower with one pull.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they can start the Toro lawn mower with one pull, which is a big help.
3. The reviewer's opinion on durability is POSITIVE.",POSITIVE,"The reviewer mentions that they can start the Toro lawn mower with one pull, which is a big help.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the Toro lawn mower can be started with one pull, which is a big help.
3. The reviewer's opinion on the engine_power is POSITIVE.",POSITIVE,"The reviewer mentions that the Toro lawn mower can be started with one pull, which is a big help.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that they can start the Toro with one pull, which is a big help.
3. The reviewer's opinion on maneuverability is NOT MENTIONED.",POSITIVE,"The reviewer mentions that they can start the Toro with one pull, which is a big help.",NOT MENTIONED
"Good value for price: Good value for the price - it starts on the first pull, as advertised and the wheel height is easy to adjust.  The self-propel mechanism does not always release fully, making the mower heavy to pull backwards, but if you release the bar before you need to stop, it will allow free-wheeling.[Rating - 4/5]",4,"1. The overall review is POSITIVE
2. The reviewer mentions that the mower starts on the first pull, the wheel height is easy to adjust, and the self-propel mechanism can be heavy to pull backwards.
3. The reviewer's opinion on the cutting_performance is NOT MENTIONED",POSITIVE,"The reviewer mentions that the mower starts on the first pull, the wheel height is easy to adjust, and the self-propel mechanism can be heavy to pull backwards.",NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the lawn mower starts on the first pull, the wheel height is easy to adjust, and the self-propel mechanism can be heavy to pull backwards.
3. The reviewer's opinion on the ease_of_use is MIXED, leaning towards NEGATIVE due to the self-propel mechanism not always releasing fully.",POSITIVE,"The reviewer mentions that the lawn mower starts on the first pull, the wheel height is easy to adjust, and the self-propel mechanism can be heavy to pull backwards.",NEGATIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the self-propel mechanism does not always release fully, making the mower heavy to pull backwards.
3. The reviewer's opinion on durability is NEUTRAL",POSITIVE,"The reviewer mentions that the self-propel mechanism does not always release fully, making the mower heavy to pull backwards.",NEUTRAL,"1. The overall review is POSITIVE
2. The reviewer mentions that the mower starts on the first pull, as advertised.
3. The reviewer's opinion on the engine_power is POSITIVE.",POSITIVE,"The reviewer mentions that the mower starts on the first pull, as advertised.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the self-propel mechanism does not always release fully, making the mower heavy to pull backwards.
3. The reviewer's opinion on maneuverability is NEGATIVE.",POSITIVE,"The reviewer mentions that the self-propel mechanism does not always release fully, making the mower heavy to pull backwards.",NEGATIVE
Stay away from this lawnmower.: I've used it twice and it constantly clogs up with grass.  I have to restart it multiple times while mowing the lawn.  When I reached out to Toro they were no help.  They told me I had to go to an authorized Toro dealer to have the lawnmower serviced.   I've owned it for two weeks and have used it twice and need to get it serviced already!?  Avoid![Rating - 1/5],1,"1. The overall review is NEGATIVE.
2. The reviewer talks about how the lawnmower constantly clogs up with grass and needs to be restarted multiple times while mowing the lawn.
3. Sentiment on cutting_performance is NEGATIVE.",NEGATIVE,The reviewer talks about how the lawnmower constantly clogs up with grass and needs to be restarted multiple times while mowing the lawn.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the lawnmower constantly clogs up with grass and needs to be restarted multiple times while mowing the lawn.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,The reviewer mentions that the lawnmower constantly clogs up with grass and needs to be restarted multiple times while mowing the lawn.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawnmower constantly clogs up with grass and needs to be restarted multiple times while mowing the lawn.
3. The reviewer's opinion on durability is NEGATIVE.",NEGATIVE,The reviewer mentions that the lawnmower constantly clogs up with grass and needs to be restarted multiple times while mowing the lawn.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawnmower constantly clogs up with grass and needs to be restarted multiple times while mowing the lawn.
3. The reviewer's opinion on the engine_power is NEGATIVE as they are experiencing issues with the performance of the engine.",NEGATIVE,The reviewer mentions that the lawnmower constantly clogs up with grass and needs to be restarted multiple times while mowing the lawn.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention maneuverability.
3. Sentiment on maneuverability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention maneuverability.,NOT MENTIONED
Missing part: The lawnmower came with only one bolt for the handle bar assembly. It requires 2. I reached out to toro to send one. Still awaiting a reply[Rating - 3/5],3,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawnmower came with only one bolt for the handle bar assembly, instead of the required 2.
3. The reviewer's opinion on the cutting_performance is NOT MENTIONED.",NEGATIVE,"The reviewer mentions that the lawnmower came with only one bolt for the handle bar assembly, instead of the required 2.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the lawnmower came with only one bolt for the handle bar assembly instead of the required two.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,The reviewer mentions that the lawnmower came with only one bolt for the handle bar assembly instead of the required two.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawnmower came with only one bolt for the handle bar assembly, instead of the required 2.
3. The reviewer's opinion on durability is NEGATIVE, as the missing part indicates a potential issue with the quality and construction of the lawnmower.",NEGATIVE,"The reviewer mentions that the lawnmower came with only one bolt for the handle bar assembly, instead of the required 2.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not mention anything about the engine_power.
3. The sentiment on engine_power is NOT MENTIONED.",NEGATIVE,The reviewer does not mention anything about the engine_power.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer does not mention anything about maneuverability.
3. Since the reviewer did not mention anything about maneuverability, the sentiment on maneuverability is NOT MENTIONED.",NEGATIVE,The reviewer does not mention anything about maneuverability.,NOT MENTIONED
