review_content,review_rating,raw_cutting_performance,overall_cutting_performance,cutting_performance_opinion,cutting_performance,raw_ease_of_use,overall_ease_of_use,ease_of_use_opinion,ease_of_use,raw_durability,overall_durability,durability_opinion,durability,raw_engine_power,overall_engine_power,engine_power_opinion,engine_power,raw_maneuverability,overall_maneuverability,maneuverability_opinion,maneuverability
"Pure garbage: This is a nice Briggs and Stratton engine wrapped in a bunch of cheap plastic. I was excited to get a new mower, read a bunch of great reviews. It got here and I was pretty happy with the way it looked. I went to use it, tried to lower the wheels and realized it was pretty cheaply made. The front wheel assembly barely held on in each notch to raise or lower the cut. Fired it up, easily. Sounded good. Went to mow my standard, normal, level, non overgrown, run-o-the-mill lawn. Two minutes in the f...[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions that they tried to lower the wheels and realized the mower was cheaply made, and that the front wheel assembly barely held on in each notch to raise or lower the cut.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,"The reviewer mentions that they tried to lower the wheels and realized the mower was cheaply made, and that the front wheel assembly barely held on in each notch to raise or lower the cut.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the front wheel assembly barely held on in each notch to raise or lower the cut, indicating a potential issue with ease of use.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer mentions that the front wheel assembly barely held on in each notch to raise or lower the cut, indicating a potential issue with ease of use.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lawn mower is made of cheap plastic and the front wheel assembly barely holds on.
3. The reviewer's opinion on durability is NEGATIVE",NEGATIVE,The reviewer mentions that the lawn mower is made of cheap plastic and the front wheel assembly barely holds on.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the engine is a nice Briggs and Stratton engine.
3. The reviewer's opinion on the engine_power is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the engine is a nice Briggs and Stratton engine.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that the front wheel assembly barely held on in each notch to raise or lower the cut.
3. Sentiment on maneuverability is NEGATIVE",NEGATIVE,The reviewer mentions that the front wheel assembly barely held on in each notch to raise or lower the cut.,NEGATIVE
"Total Junk: Don't buy this mower.  It is total garbage.  Everything on it is cheaply made.  The wheel adjustments don't lock in place and fall while mowing, scalping chunks out of the lawn.  Random pieces fall off while mowing, like the handle comfort bar, the clip that holds the cord in place, etc.  The self-propel locks up the wheels and you can't pull the mower back toward you. The mulching bag does not fit properly and blows grass and dirt directly into your face.  The engine design sucks grass clipping...[Rating - 1/5]",1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the wheel adjustments don't lock in place, causing scalping chunks out of the lawn, and that the mulching bag does not fit properly.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,"The reviewer mentions that the wheel adjustments don't lock in place, causing scalping chunks out of the lawn, and that the mulching bag does not fit properly.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions issues with the wheel adjustments not locking in place, random pieces falling off, self-propel locking up the wheels, and the mulching bag not fitting properly.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer mentions issues with the wheel adjustments not locking in place, random pieces falling off, self-propel locking up the wheels, and the mulching bag not fitting properly.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that everything on the mower is cheaply made, with random pieces falling off while mowing.
3. The reviewer's opinion on durability is NEGATIVE.",NEGATIVE,"The reviewer mentions that everything on the mower is cheaply made, with random pieces falling off while mowing.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the engine design sucks grass clipping
3. The reviewer's opinion on the engine_power is NEGATIVE",NEGATIVE,The reviewer mentions that the engine design sucks grass clipping,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the wheel adjustments don't lock in place and fall while mowing, causing scalping chunks out of the lawn.
3. The reviewer's opinion on maneuverability is NEGATIVE",NEGATIVE,"The reviewer mentions that the wheel adjustments don't lock in place and fall while mowing, causing scalping chunks out of the lawn.",NEGATIVE
"Reasonably priced quality unit for small lawns: I rented a house in Denton so my son can attend UNT. It has a front and back yard, and we are responsible for mowing those. This was a reasonable priced unit from a good vendor. It went together easily, and included a bottle of good 30W oil suitable for the mower. I managed to put gas in it and it cranked right up on first pull. It is self propelled (via back wheels) so it's not that hard to mow with it (I'm 72).[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawn mower is self-propelled and not hard to mow with.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",POSITIVE,The reviewer mentions that the lawn mower is self-propelled and not hard to mow with.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about how the lawn mower is self-propelled via the back wheels, making it easier to mow with.
3. The reviewer's opinion on the ease_of_use is POSITIVE",POSITIVE,"The reviewer talks about how the lawn mower is self-propelled via the back wheels, making it easier to mow with.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawn mower went together easily, included good quality oil, and cranked right up on the first pull.
3. The reviewer's opinion on durability is POSITIVE.",POSITIVE,"The reviewer mentions that the lawn mower went together easily, included good quality oil, and cranked right up on the first pull.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the mower cranked right up on the first pull and is self-propelled via the back wheels.
3. The reviewer's opinion on the engine_power is POSITIVE.",POSITIVE,The reviewer mentions that the mower cranked right up on the first pull and is self-propelled via the back wheels.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawn mower is self-propelled via back wheels, making it easier to mow with.
3. Sentiment on maneuverability is POSITIVE",POSITIVE,"The reviewer mentions that the lawn mower is self-propelled via back wheels, making it easier to mow with.",POSITIVE
"Junk: This mower is honestly and truly terrible. My biggest complaint is how weak it is. I have very small yard in a neighborhood so, I felt like this mower would be perfect. Boy how I was wrong, it dies just about every 10 feet. I mow my yard at least once a week, it’s not like I’m mowing a jungle. It just cannot go through thick grass no matter how tall it is. Aside from that it feels very cheap kind of like a toy. I bought this mower in March of 2024 it’s May of 2024 and I’m already having problems...[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer talks about how the mower is weak and dies every 10 feet, struggling to go through thick grass.
3. The reviewer's opinion on the cutting_performance is NEGATIVE",NEGATIVE,"The reviewer talks about how the mower is weak and dies every 10 feet, struggling to go through thick grass.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower is weak and dies every 10 feet, struggles with thick grass, and feels cheap like a toy.
3. The reviewer's opinion on the ease_of_use is NEGATIVE",NEGATIVE,"The reviewer mentions that the mower is weak and dies every 10 feet, struggles with thick grass, and feels cheap like a toy.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower feels very cheap and like a toy, and that they are already having problems with it after only a couple of months of use.
3. The sentiment on durability is NEGATIVE",NEGATIVE,"The reviewer mentions that the mower feels very cheap and like a toy, and that they are already having problems with it after only a couple of months of use.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer talks about how weak the mower is and how it dies every 10 feet, indicating a lack of power in the engine.
3. The reviewer's opinion on the engine_power is NEGATIVE.",NEGATIVE,"The reviewer talks about how weak the mower is and how it dies every 10 feet, indicating a lack of power in the engine.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the mower dies every 10 feet and cannot go through thick grass.
3. The reviewer's opinion on maneuverability is NEGATIVE.",NEGATIVE,The reviewer mentions that the mower dies every 10 feet and cannot go through thick grass.,NEGATIVE
"Exceeds Expectations: Very good lawnmower at this price point. fast  shipping, and we'll protected boxing. Easy assembly. Initial start on 2nd pull. 1st time thereafter. Bag and/or mulching works well. Rear wheel drive is great, and speed can go from crawl to brisk walk, depending on how much you engage the lower bar. I prefer rear wheel drive.  My experience is that front wheel drive mowers loose traction from the weight of grass in the rear bag. Tips: When adding oil for the first time, it doesn't take the whole bo...[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawnmower has a rear wheel drive which is great and the speed can be adjusted from crawl to brisk walk.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",POSITIVE,The reviewer mentions that the lawnmower has a rear wheel drive which is great and the speed can be adjusted from crawl to brisk walk.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about the ease_of_use by mentioning features like fast shipping, well-protected boxing, easy assembly, easy start on the 2nd pull, and the rear wheel drive being great.
3. The reviewer's opinion on the ease_of_use is POSITIVE.",POSITIVE,"The reviewer talks about the ease_of_use by mentioning features like fast shipping, well-protected boxing, easy assembly, easy start on the 2nd pull, and the rear wheel drive being great.",POSITIVE,"1. The sentiment of the overall review is POSITIVE.
2. The reviewer mentions the durability of the lawnmower by stating that it is a ""very good lawnmower at this price point"" and that the rear wheel drive is great.
3. The reviewer's opinion on the durability is POSITIVE.",POSITIVE,"The reviewer mentions the durability of the lawnmower by stating that it is a ""very good lawnmower at this price point"" and that the rear wheel drive is great.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the initial start of the lawnmower was on the 2nd pull and 1st time thereafter, indicating the efficiency of the engine_power.
3. The reviewer's opinion on the engine_power is POSITIVE.",POSITIVE,"The reviewer mentions that the initial start of the lawnmower was on the 2nd pull and 1st time thereafter, indicating the efficiency of the engine_power.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about the rear wheel drive being great and the ability to adjust the speed from crawl to brisk walk.
3. The reviewer's opinion on maneuverability is POSITIVE.",POSITIVE,The reviewer talks about the rear wheel drive being great and the ability to adjust the speed from crawl to brisk walk.,POSITIVE
Satisfied purchase: This lawnmower is very nice. It cuts my big yard at ease. The gas tank is pretty big and can last at least 2 full gardening of my front and back yards. Took a little getting used to the rear wheel drive but I have it perfected. It can almost cut by itself with little effort from me pushing.[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer talks about how the lawnmower cuts their big yard at ease, the gas tank lasting for multiple gardening sessions, and the rear wheel drive taking some time to get used to.
3. The reviewer's opinion on the cutting_performance is POSITIVE",POSITIVE,"The reviewer talks about how the lawnmower cuts their big yard at ease, the gas tank lasting for multiple gardening sessions, and the rear wheel drive taking some time to get used to.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about how the lawnmower is user-friendly and convenient to operate, mentioning features like the big gas tank, rear wheel drive, and self-propulsion.
3. The reviewer's opinion on the ease_of_use is POSITIVE.",POSITIVE,"The reviewer talks about how the lawnmower is user-friendly and convenient to operate, mentioning features like the big gas tank, rear wheel drive, and self-propulsion.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawnmower is very nice and cuts their big yard with ease. They also mention that the gas tank is pretty big and can last at least 2 full gardening sessions of their front and back yards.
3. The reviewer's opinion on durability is POSITIVE. They mention that the lawnmower is nice, cuts their big yard with ease, and that they have perfected using the rear wheel drive. They also imply that the lawnmower is sturdy and long-lasting by stating that it can almost cut by itself with little effort from them pushing.",POSITIVE,The reviewer mentions that the lawnmower is very nice and cuts their big yard with ease. They also mention that the gas tank is pretty big and can last at least 2 full gardening sessions of their front and back yards.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the lawnmower cuts their big yard at ease and that the gas tank is pretty big.
3. The reviewer's opinion on the engine_power is POSITIVE.",POSITIVE,The reviewer mentions that the lawnmower cuts their big yard at ease and that the gas tank is pretty big.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the lawnmower took a little getting used to the rear wheel drive.
3. The reviewer's opinion on the maneuverability is POSITIVE",POSITIVE,The reviewer mentions that the lawnmower took a little getting used to the rear wheel drive.,POSITIVE
"Very dissapointing: Bag design is terrible. Because the bag bottom does not run the length of the frame, a large amount of the bag contents fall out as you remove the small bag.

Worst part is that after less than 60 days and 4 uses at the most, the self-propel mechanism stopped working. Lowe's is not help since, as they put it, I didn't pay for the extended warranty. 

Will update after I get a response from the local Toro dealer.

I would not recommend this mower.[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the bag design is terrible and that a large amount of the bag contents fall out as you remove the small bag. They also mention that the self-propel mechanism stopped working after only 60 days and 4 uses.
3. The reviewer's opinion on the cutting_performance is NEGATIVE as they do not specifically mention it but highlight issues with the mower's design and functionality.",NEGATIVE,The reviewer mentions that the bag design is terrible and that a large amount of the bag contents fall out as you remove the small bag. They also mention that the self-propel mechanism stopped working after only 60 days and 4 uses.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the self-propel mechanism stopped working after less than 60 days and 4 uses.
3. The sentiment on ease_of_use is NEGATIVE.",NEGATIVE,The reviewer mentions that the self-propel mechanism stopped working after less than 60 days and 4 uses.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that after less than 60 days and 4 uses, the self-propel mechanism stopped working.
3. The reviewer's opinion on durability is NEGATIVE",NEGATIVE,"The reviewer mentions that after less than 60 days and 4 uses, the self-propel mechanism stopped working.",NEGATIVE,"1. The overall review is NEGATIVE.

2. The reviewer does not specifically mention the engine_power in the review.

3. Since the reviewer does not mention the engine_power, the sentiment on engine_power is NOT MENTIONED.",,,,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention maneuverability in the review.
3. Sentiment on maneuverability is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention maneuverability in the review.,NOT MENTIONED
Worst lawnmower ever: I had my last lawn mower for over 15 years and never once had a problem with it. I sold it because my boyfriend at the time had a lawnmower and we didn’t need two. After we broke up I needed another lawn mower. I bought this piece of crap. Mowed my small yard one time last year and this season it wouldn’t start. I cleaned carbeurator and was able to get it working again. I have only used it three times since and it just quit working again. Total piece of junk!! Do not buy[Rating - 1/5],1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the lawnmower worked for a short period of time before experiencing issues.
3. The reviewer's opinion on the cutting_performance is NEGATIVE.",NEGATIVE,The reviewer mentions that the lawnmower worked for a short period of time before experiencing issues.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the lawn mower was difficult to start, as it wouldn't start after the first season of use and then quit working again after only three uses.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,"The reviewer mentions that the lawn mower was difficult to start, as it wouldn't start after the first season of use and then quit working again after only three uses.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that their previous lawn mower lasted over 15 years without any problems, but the new one they purchased stopped working after minimal use.
3. The reviewer's opinion on the durability is NEGATIVE.",NEGATIVE,"The reviewer mentions that their previous lawn mower lasted over 15 years without any problems, but the new one they purchased stopped working after minimal use.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the lawn mower wouldn't start after using it only a few times.
3. The reviewer's opinion on the engine_power is NEGATIVE as they experienced issues with the lawn mower starting and functioning properly.",NEGATIVE,The reviewer mentions that the lawn mower wouldn't start after using it only a few times.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention maneuverability in the review.
3. Sentiment on maneuverability is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention maneuverability in the review.,NOT MENTIONED
"Easy Starting: I enjoy mowing the lawn...but I have always hated the hassle of starting the engine.

The Toro almost always starts on the first pull.  Rarely, a second pull is required.

It is very easy to adjust the height of the wheels by a quick push on the height lever.



The auto drive pushes the mower at a faster than average speed but relaxing your grip on the control bar slows it down.

The gas tank seems smaller than my old mower, running out of gas after about an hour.  Perhaps Toro wants to prevent...[Rating - 4/5]",4,"1. The overall review is POSITIVE
2. The reviewer mentions that the Toro mower is easy to start, has adjustable wheel height, and has an auto drive feature that controls the speed.
3. The reviewer's opinion on the cutting_performance is POSITIVE.",POSITIVE,"The reviewer mentions that the Toro mower is easy to start, has adjustable wheel height, and has an auto drive feature that controls the speed.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about the ease of starting the engine, adjusting the height of the wheels, the auto drive feature, and the gas tank size.
3. The reviewer's opinion on the ease_of_use is POSITIVE.",POSITIVE,"The reviewer talks about the ease of starting the engine, adjusting the height of the wheels, the auto drive feature, and the gas tank size.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability, but does mention the ease of starting the engine and adjusting the height of the wheels.
3. Sentiment on durability is NOT MENTIONED",POSITIVE,"The reviewer does not specifically mention durability, but does mention the ease of starting the engine and adjusting the height of the wheels.",NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the Toro mower almost always starts on the first pull and rarely requires a second pull.
3. The reviewer's opinion on the engine_power is POSITIVE.",POSITIVE,The reviewer mentions that the Toro mower almost always starts on the first pull and rarely requires a second pull.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about the ease of adjusting the height of the wheels and the auto drive feature that allows for faster mowing.
3. Sentiment on maneuverability is POSITIVE",POSITIVE,The reviewer talks about the ease of adjusting the height of the wheels and the auto drive feature that allows for faster mowing.,POSITIVE
Won't start after shutting it off and very weak.: I bought this mower April 10th 2024 read reviews and always heard great stuff about Toro products. Well I noticed it just didn't seem to have much power to it and I had previously had a Kobalt 40 volt battery powered mower. The battery mower has more but than this thing. The most recent time I cut the grass I had to shut it off and move a few things. I tried to start it back and it was like it just wasn't sparking or igniting the gas correctly. I pulled and pulled only to get a little puff of wh...[Rating - 1/5],1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower didn't seem to have much power and compares it to a battery-powered mower that had more power.
3. The reviewer's opinion on the cutting_performance is NEGATIVE as they felt that the mower lacked power and did not perform well in comparison to another mower they had used.",NEGATIVE,The reviewer mentions that the mower didn't seem to have much power and compares it to a battery-powered mower that had more power.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower won't start after shutting it off and that it has very weak power.
3. The reviewer's opinion on the ease_of_use is NEGATIVE.",NEGATIVE,The reviewer mentions that the mower won't start after shutting it off and that it has very weak power.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower ""just didn't seem to have much power to it"" and that it had trouble starting after being shut off.
3. The reviewer's opinion on durability is NEGATIVE as they experienced issues with the mower not starting correctly and lacking power.",NEGATIVE,"The reviewer mentions that the mower ""just didn't seem to have much power to it"" and that it had trouble starting after being shut off.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the mower didn't seem to have much power and compares it unfavorably to a Kobalt 40 volt battery powered mower.
3. The reviewer's opinion on the engine_power is NEGATIVE.",NEGATIVE,The reviewer mentions that the mower didn't seem to have much power and compares it unfavorably to a Kobalt 40 volt battery powered mower.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that they had to shut off the mower and move a few things, then tried to start it back up but had issues.
3. The sentiment on maneuverability is NEGATIVE.",NEGATIVE,"The reviewer mentions that they had to shut off the mower and move a few things, then tried to start it back up but had issues.",NEGATIVE
